iter	Logloss
0	0.6479184701
1	0.6193654181
2	0.5944593413
3	0.5782119273
4	0.5638264271
5	0.554124634
6	0.5433112479
7	0.5356645074
8	0.528109901
9	0.5218729179
10	0.5153962451
11	0.5097012474
12	0.5049185698
13	0.4988983284
14	0.4931299567
15	0.4888923686
16	0.4855285516
17	0.4823755632
18	0.477271348
19	0.472300901
20	0.4687085198
21	0.4655710234
22	0.4626031609
23	0.4597137454
24	0.4567221711
25	0.4541896472
26	0.4509019675
27	0.4483890734
28	0.4451381119
29	0.442356193
30	0.4403881442
31	0.437671974
32	0.435849044
33	0.4321437593
34	0.4306283885
35	0.429037785
36	0.4270233512
37	0.424578615
38	0.4228246455
39	0.4206562891
40	0.4184725277
41	0.4169512002
42	0.4156872479
43	0.4139554195
44	0.4120487509
45	0.4102829057
46	0.4089667344
47	0.407522262
48	0.40529171
49	0.4038387233
50	0.402191766
51	0.4007073935
52	0.399315315
53	0.3967599062
54	0.3956905807
55	0.394613909
56	0.3935543712
57	0.3923167468
58	0.3911773243
59	0.3900794382
60	0.3885403758
61	0.3873943802
62	0.3865331227
63	0.3855972833
64	0.3845593107
65	0.3837525854
66	0.3827372175
67	0.3818840038
68	0.3806069311
69	0.3796014267
70	0.3787573466
71	0.3778253729
72	0.3768553039
73	0.3758729842
74	0.3748059534
75	0.3739467433
76	0.3730356529
77	0.3714729908
78	0.370682663
79	0.3699492673
80	0.3692405293
81	0.368203056
82	0.3674938454
83	0.3665969064
84	0.3655915647
85	0.364742448
86	0.3637762671
87	0.3629687156
88	0.3623442911
89	0.3615878307
90	0.3609776301
91	0.3598919549
92	0.3591359315
93	0.3582782937
94	0.3574838876
95	0.3568419823
96	0.3561877557
97	0.3552870959
98	0.3545480356
99	0.354005228
100	0.3530328422
101	0.3523940884
102	0.3516793369
103	0.3510712852
104	0.3497478719
105	0.3491699857
106	0.3485104248
107	0.3478078847
108	0.3471133304
109	0.3464655954
110	0.3458824583
111	0.345279956
112	0.3446533982
113	0.3441855862
114	0.3436495617
115	0.3426776305
116	0.342117222
117	0.3413336572
118	0.3408128218
119	0.3399671961
120	0.3393922624
121	0.3387163305
122	0.3382772803
123	0.3372746732
124	0.3367789899
125	0.3359744259
126	0.335364104
127	0.3347936478
128	0.3340543317
129	0.3331884702
130	0.3327071615
131	0.3322225457
132	0.3317569209
133	0.3312046237
134	0.3305651505
135	0.3292925554
136	0.3286744167
137	0.3281653314
138	0.3276104679
139	0.3270377673
140	0.3265241838
141	0.3259803393
142	0.3253727743
143	0.3249575148
144	0.3241787791
145	0.3236759131
146	0.3231665152
147	0.3225988146
148	0.3220906733
149	0.3214654396
150	0.3210104333
151	0.3205570443
152	0.320106365
153	0.3195820153
154	0.3183707149
155	0.317971578
156	0.3175454954
157	0.3170566742
158	0.3165452626
159	0.3159926513
160	0.3156293888
161	0.3152231288
162	0.3147874443
163	0.3143485285
164	0.3137920708
165	0.3133866346
166	0.3129857266
167	0.3125506385
168	0.3121329258
169	0.3117475013
170	0.3113724378
171	0.3109180605
172	0.3103430628
173	0.3099528565
174	0.3090594729
175	0.3085413105
176	0.308157495
177	0.3077307214
178	0.3071580375
179	0.3067855761
180	0.3063451205
181	0.3059676136
182	0.3056256293
183	0.3052195014
184	0.3045544368
185	0.3040153879
186	0.3036190252
187	0.3032253281
188	0.3028030554
189	0.3024446265
190	0.3019191396
191	0.3012480436
192	0.3009878367
193	0.3006486741
194	0.3003291206
195	0.2999141909
196	0.2995225087
197	0.2991370625
198	0.2987385423
199	0.2983989222
200	0.2980370862
201	0.2976334812
202	0.2973043986
203	0.2968810583
204	0.2964704495
205	0.2959920839
206	0.2956271669
207	0.2950114741
208	0.2942208567
209	0.2939010186
210	0.2934933149
211	0.293184168
212	0.2928831186
213	0.2925587149
214	0.2921836023
215	0.2919078406
216	0.2915627404
217	0.2912100319
218	0.2909106822
219	0.2905203369
220	0.2901804562
221	0.2898397161
222	0.2894047041
223	0.2891135223
224	0.2887320433
225	0.2884142817
226	0.2878684753
227	0.2875382198
228	0.2872191016
229	0.2869330392
230	0.2865553138
231	0.28616841
232	0.285771057
233	0.2854486306
234	0.2850971565
235	0.2848819241
236	0.2845787219
237	0.2842975939
238	0.2836608388
239	0.2828917396
240	0.2824541362
241	0.2820807093
242	0.2817902335
243	0.2814708397
244	0.2808926046
245	0.2805759721
246	0.2803729809
247	0.2799488561
248	0.2797124185
249	0.2794216806
250	0.2791321753
