iter	Passed	Remaining
398	279523	421037
399	280185	420277
400	280874	419560
401	281535	418801
402	282225	418085
403	282906	417356
404	283590	416632
405	284284	415923
406	284972	415206
407	285673	414506
408	286370	413801
409	287045	413065
410	287730	412343
411	288399	411599
412	289077	410868
413	289760	410144
414	290432	409404
415	291129	408701
416	291829	408001
417	292524	407294
418	293213	406580
419	293896	405856
420	294603	405166
421	295286	404445
422	295968	403720
423	296652	402999
424	297332	402273
425	297995	401524
426	298700	400832
427	299403	400136
428	300074	399399
429	300735	398649
430	301423	397934
431	302110	397219
432	302789	396493
433	303456	395751
434	304140	395032
435	304806	394291
436	305481	393561
437	306150	392822
438	306832	392103
439	307501	391365
440	308185	390647
441	308870	389932
442	309563	389225
443	310260	388524
444	310946	387809
445	311647	387113
446	312325	386389
447	313006	385669
448	313699	384962
449	314393	384258
450	315056	383516
451	315729	382786
452	316416	382074
453	317103	381362
454	317799	380661
455	318468	379927
456	319155	379215
457	319834	378494
458	320499	377756
459	321179	377036
460	321863	376321
461	322560	375622
462	323268	374935
463	323964	374235
464	324642	373513
465	325309	372779
466	326000	372073
467	326672	371346
468	327356	370632
469	328049	369928
470	328746	369229
471	329437	368523
472	330126	367815
473	330827	367120
474	331504	366399
475	332193	365691
476	332864	364965
477	333544	364247
478	334230	363537
479	334934	362846
480	335602	362115
481	336278	361395
482	336940	360658
483	337631	359953
484	338315	359241
485	338998	358529
486	339668	357803
487	340355	357094
488	341020	356362
489	341699	355646
490	342384	354936
491	343074	354231
492	343751	353512
493	344427	352794
494	345100	352072
495	345788	351365
496	346472	350655
497	347137	349926
498	347799	349193
499	348497	348497
500	349168	347774
501	349844	347056
502	350537	346355
503	351215	345641
504	351877	344909
505	352562	344201
506	353270	343515
507	353931	342784
508	354619	342078
509	355300	341367
510	355985	340659
511	356668	339950
512	357328	339218
513	358004	338501
514	358718	337822
515	359417	337127
516	360095	336414
517	360795	335721
518	361487	335020
519	362181	334321
520	362864	333612
521	363553	332908
522	364244	332207
523	364914	331487
524	365581	330764
525	366283	330073
526	366978	329375
527	367676	328680
528	368376	327987
529	369072	327290
530	369743	326571
531	370416	325854
532	371123	325168
533	371805	324459
534	372483	323747
535	373184	323055
536	373855	322337
537	374559	321647
538	375231	320930
539	375909	320219
540	376627	319541
541	377344	318863
542	378075	318196
543	378763	317493
544	379468	316803
545	380134	316082
546	380811	315370
547	381493	314662
548	382175	313954
549	382864	313252
550	383526	312528
551	384210	311823
552	384904	311125
553	385567	310402
554	386249	309695
555	386924	308982
556	387609	308278
557	388294	307573
558	388984	306873
559	389654	306156
560	390337	305451
561	391019	304744
562	391723	304055
563	392382	303331
564	393081	302637
565	393757	301927
566	394426	301211
567	395097	300496
568	395762	299778
569	396443	299071
570	397110	298354
571	397798	297653
572	398480	296948
573	399161	296241
574	399860	295549
575	400546	294846
576	401237	294148
577	401908	293435
578	402566	292712
579	403254	292012
580	403941	291310
581	404604	290592
582	405298	289896
583	405998	289204
584	406687	288504
585	407402	287823
586	408074	287112
587	408745	286399
588	409404	285679
589	410091	284979
590	410763	284267
591	411441	283561
592	412107	282846
593	412772	282131
594	413450	281424
595	414145	280729
596	414804	280010
597	415476	279300
598	416143	278586
599	416803	277869
600	417498	277174
601	418160	276458
602	418845	275757
603	419526	275054
604	420186	274336
605	420856	273626
606	421540	272925
607	422200	272208
608	422868	271496
609	423555	270797
610	424215	270081
611	424900	269381
612	425580	268678
613	426279	267986
614	426977	267294
615	427647	266585
616	428343	265892
617	429036	265197
618	429719	264496
619	430382	263782
620	431048	263071
621	431740	262376
622	432401	261662
623	433068	260951
624	433768	260261
625	434433	259549
626	435119	258850
627	435783	258139
628	436448	257428
629	437115	256718
630	437800	256019
631	438487	255322
632	439161	254616
633	439831	253909
634	440511	253207
635	441193	252507
636	441904	251823
637	442570	251113
638	443271	250424
639	443966	249731
640	444624	249017
641	445291	248309
642	445962	247602
643	446653	246907
644	447335	246207
645	448031	245515
646	448738	244829
647	449405	244121
648	450088	243422
649	450775	242725
650	451472	242033
651	452153	241333
652	452854	240643
653	453526	239938
654	454229	239250
655	454925	238558
656	455626	237869
657	456324	237178
658	457013	236481
659	457725	235797
660	458405	235097
661	459105	234407
662	459796	233712
663	460464	233006
664	461134	232301
665	461843	231615
666	462521	230914
667	463197	230211
668	463861	229503
669	464550	228808
670	465239	228112
671	465936	227421
672	466619	226722
673	467292	226019
674	467970	225319
675	468649	224618
676	469339	223924
677	470009	223219
678	470699	222524
679	471360	221816
680	472020	221107
681	472706	220411
682	473383	219711
683	474056	219008
684	474731	218307
685	475422	217613
686	476106	216915
687	476767	216208
688	477453	215512
689	478142	214817
690	478809	214113
691	479487	213413
692	480175	212718
693	480871	212026
694	481562	211333
695	482232	210630
696	482908	209930
697	483568	209223
698	484254	208527
699	484950	207835
700	485628	207136
701	486315	206441
702	487007	205748
703	487676	205045
704	488341	204341
705	489003	203636
706	489668	202931
